    
Star Data Extractor Tool (Note: This program mocks format of AIP_4_WIN)
     Image: m23_3.5_001.fit
     Stars Found:  2510
     Radius of star diaphragm: 4 and 3
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor:  0.000000
      X                Y           Sigma            FWHM         Sky ADU           Star ADU 4         Star ADU 3     
  730.35          741.69            0.00            0.00           733.8            19533.4            18237.1
  729.84          663.26            0.00            0.00           737.6            19150.6            17841.9
  324.68          509.12            0.00            0.00           760.9            18081.4            16903.6
  684.75          671.29            0.00            0.00           735.6            19049.9            17991.1
  283.98          806.65            0.00            0.00           735.0            18932.8            16622.4
  341.53          728.41            0.00            0.00           737.4            18414.7            16508.2
  359.39          715.73            0.00            0.00           737.4            18277.2            16600.9
  359.38          716.33            0.00            0.00           737.4            18277.2            16600.9
  941.43          514.87            0.00            0.00           728.2            18995.9            18080.3
  359.48          716.14            0.00            0.00           737.4            18277.2            16600.9
  807.30          632.54            0.00            0.00           733.8            18605.4            17196.7
  233.27           93.10            0.00            0.00           745.6            17954.2            15801.2
  819.93          511.73            0.00            0.00           731.9            18042.9            17302.8
  246.32          847.65            0.00            0.00           738.2            18662.0            16180.0
  276.53          734.60            0.00            0.00           739.5            17536.3            15593.0
  837.67          847.32            0.00            0.00           735.5            18583.1            17454.8
  165.39          837.39            0.00            0.00           737.4            17358.1            14781.8
  606.01          467.96            0.00            0.00           735.9            17479.5            16878.2
  239.52          785.64            0.00            0.00           736.4            16763.5            14279.3
  989.79          296.04            0.00            0.00           732.9            17793.2            16886.1
  429.18          544.73            0.00            0.00           740.7            15585.6            14078.3
  388.23          935.32            0.00            0.00           739.1            16948.0            14721.7
  480.93          712.48            0.00            0.00           737.0            16533.4            15417.3
  306.43          735.52            0.00            0.00           739.5            18285.6            16569.6
  363.79          185.16            0.00            0.00           737.4            15853.0            13637.2
  761.86          724.90            0.00            0.00           733.8            16804.0            15961.9
  306.52          735.71            0.00            0.00           739.5            17777.3            15892.0
   70.08          480.62            0.00            0.00           743.6            16362.9            14201.4
  334.59          940.83            0.00            0.00           740.3            16160.1            14115.1
  334.60          940.77            0.00            0.00           740.3            16160.1            14115.1
  347.37           33.99            0.00            0.00           740.7            16840.1            15239.5
  431.69          133.50            0.00            0.00           735.5            15239.9            13295.8
  316.10          742.59            0.00            0.00           739.5            16639.7            15110.1
   21.88          177.58            0.00            0.00           749.0            15357.5            12863.5
  438.32          545.38            0.00            0.00           740.7            15706.0            14825.2
  398.92          187.00            0.00            0.00           735.5            11501.9             9840.4
  203.78          408.86            0.00            0.00           754.1            15028.8            13261.9
  885.31          645.06            0.00            0.00           732.6            15603.5            15002.4
  112.51          812.66            0.00            0.00           743.1            14556.3            11879.5
  942.79          343.28            0.00            0.00           732.9            15228.7            14408.1
  684.99          468.59            0.00            0.00           736.7            14922.3            13173.2
  895.87          850.84            0.00            0.00           735.5            15445.4            14264.2
  911.01          154.26            0.00            0.00           733.4            14838.3            14091.4
  621.22          138.43            0.00            0.00           729.8            14777.1            14132.3
  571.92           94.09            0.00            0.00           731.6            15125.8            14196.0
  223.97          598.41            0.00            0.00           744.9            14625.3            13058.4
  860.29          827.12            0.00            0.00           733.7            14528.3            13642.2
  530.25          719.75            0.00            0.00           731.4            14344.6            13456.3
  994.96           17.70            0.00            0.00           747.3            11309.5             9520.6
  296.95          393.04            0.00            0.00           761.1            13950.9            12538.9
   18.06          480.70            0.00            0.00           744.0            14631.5            12547.1
  170.61          222.45            0.00            0.00           752.0            13920.3            11618.0
  855.44          564.50            0.00            0.00           729.7            14331.1            13644.8
  533.80          539.54            0.00            0.00           739.4            13193.6            11919.6
  398.92          187.50            0.00            0.00           735.5            11191.9             9667.0
  806.85          648.92            0.00            0.00           735.5            13614.4            13147.8
  414.52          663.40            0.00            0.00           739.6            12696.3            11445.0
   34.77          397.48            0.00            0.00           747.1            11878.0             9349.8
  471.82          677.47            0.00            0.00           735.7            13052.3            12172.8
  595.22          440.96            0.00            0.00           735.7            12689.4            11892.8
  813.43          988.37            0.00            0.00           732.4            13685.2            12332.8
  530.97          320.56            0.00            0.00           733.0            12611.2            11922.1
  392.89          736.74            0.00            0.00           737.3            11768.4            10608.4
  700.42          620.56            0.00            0.00           733.3            12685.9            11864.5
  887.22           40.00            0.00            0.00           736.9            13035.0            11935.5
  208.44          938.86            0.00            0.00           739.2            12559.9            10690.2
  246.34          626.53            0.00            0.00           744.9            11534.8            10236.4
  946.44          816.46            0.00            0.00           736.2            12092.0            10720.1
  914.91          189.53            0.00            0.00           733.4            12330.0            11642.7
   35.23          397.74            0.00            0.00           747.1            11606.9             9543.7
  870.84          127.47            0.00            0.00           732.0            12630.6            11774.3
  569.98          212.44            0.00            0.00           729.7            11903.7            11003.3
  761.93          672.96            0.00            0.00           737.6            11827.5            10550.8
  748.41          239.55            0.00            0.00           727.5            11573.2            10857.3
  277.73          843.96            0.00            0.00           739.5            11377.6             9992.8
  742.37          762.93            0.00            0.00           733.8            11638.1            10964.7
  303.26          864.31            0.00            0.00           739.5            11377.5             9955.4
  534.65          848.93            0.00            0.00           734.4            11127.5            10007.6
  247.94          487.92            0.00            0.00           752.7            11587.0            10448.3
  939.92          710.96            0.00            0.00           735.0            11991.0            11446.3
  340.21          229.71            0.00            0.00           736.7            11604.7            10485.2
  778.87          356.32            0.00            0.00           731.4            10919.1            10231.3
  205.41          846.86            0.00            0.00           738.2            11199.6             9035.6
   15.38          202.49            0.00            0.00           748.8            11427.6             9602.9
  844.90          521.41            0.00            0.00           729.7            11822.2            11370.9
  422.25          709.18            0.00            0.00           737.3            13038.4            12091.5
  881.84          291.51            0.00            0.00           730.3            11468.5            10988.0
  399.24          253.88            0.00            0.00           734.5            11042.8            10195.5
  649.89          384.38            0.00            0.00           736.3            10406.2             9477.0
  930.85          127.37            0.00            0.00           735.9            11154.1            10536.2
   59.99          540.61            0.00            0.00           735.2            10438.3             8930.8
  771.94           40.42            0.00            0.00           733.6            11061.1            10326.7
   41.82          488.76            0.00            0.00           744.0            10318.9             8884.7
  661.11          149.21            0.00            0.00           731.1            10803.2            10351.1
  158.29          244.15            0.00            0.00           752.0            10811.9             9545.6
   88.16          576.55            0.00            0.00           735.2            10372.6             9046.7
   42.02          488.74            0.00            0.00           744.0            10318.9             8884.7
  900.15          139.15            0.00            0.00           733.4            10655.7            10122.6
   42.08          488.75            0.00            0.00           744.0            10318.9             8884.7
  244.40          748.39            0.00            0.00           737.6            10333.9             9111.9
  931.38          253.22            0.00            0.00           731.1            10792.8            10173.5
  926.97          959.86            0.00            0.00           734.7            10737.9             9814.0
  415.65          542.05            0.00            0.00           740.7            10198.3             9412.7
  367.33          704.96            0.00            0.00           737.4            10481.1             9659.4
  665.01          626.05            0.00            0.00           733.3            10340.8             9676.8
  900.02          139.25            0.00            0.00           733.4            10655.7            10122.6
  331.48          301.55            0.00            0.00           741.2            10540.1             9604.6
  587.87          315.43            0.00            0.00           732.2            10549.8            10005.0
  394.43          612.40            0.00            0.00           735.2             9712.6             8986.5
   42.00          488.95            0.00            0.00           744.0            10318.9             8884.7
  585.48          829.52            0.00            0.00           735.2            10353.8             9500.3
  643.24          566.12            0.00            0.00           733.7            10064.9             9495.0
  621.32          695.87            0.00            0.00           733.5            11057.4            10445.5
  246.52          885.92            0.00            0.00           738.2            10064.0             8842.3
  878.74          829.12            0.00            0.00           733.7            10006.2             9009.9
  214.89          135.68            0.00            0.00           749.2             9395.0             7941.7
